,text,hashtags,sentement
0,بعلم #فلسطين.. لاعبو #الجزائر يحتفلون بالتأهل لنصف نهائي #كأس_العرب https://t.co/D6LlBxA1Kb,['كأس_العرب'],positive
1,"#الجزائر_المغرب #كأس_العرب 
يندمو على النهار لي قالو فيه يا الجزائر وحنا جايين🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/W0XzaKpXVg",['كأس_العرب'],negative
2,"بعيدا عن تأهل المنتخب الوطني إلى نصف النهائي 
المباراة كانت مثيرة ومشوقة الى ابعد الحدود مباراة ستبقى في الذاكرة بين المنتخبين اعطوااصورة لمستوى الكرة العربية  من الطراز الرفيع 
وكأن المباراة تلعب في كأس العالم من شدة الإثارة 
هدف بلايلي ماركة مسجلة باسمه 
#كأس_العرب",['كأس_العرب'],positive
3,"🚀🔥 تسديدة صاروخية خرافية من يوسف البلايلي تسكن شباك المنتخب المغربي

#كأس_العرب #مونديال_العرب #المغرب_الجزائر 
#FIFArabCup #ArabCup2021 https://t.co/6Q52tC8NX4",['كأس_العرب'],positive
4,"#كأس_العرب
للدعايه  والاعلان 
1️⃣مشاهدات
2️⃣رفع تاق ترند 
3️⃣خدمات تويتر 
4️⃣خدمات يوتيوب
5️⃣خدمات إنستقرام
6️⃣زيادة متابعـين حقيقيين👌 
7️⃣اشتراكات رتويت 🔄 لايك اسبوع وشهري 
الكثير من الخدمات
 وارخص الاسعار
للتواصل واتس 
 @abwshog https://t.co/3OVup519Sz",['كأس_العرب'],neutral
5,"علي معلول ينتظم في تدريبات نسور قرطاج.
#كأس_العرب https://t.co/uQaTUNzIgj",['كأس_العرب'],neutral
6,"🚀🤩 صاروخية بلايلي من زاوية مختلفة 

صِف الهدف بكلمة ✍🏼

#كأس_العرب | #مونديال_العرب | #المغرب_الجزائر 
#FIFArabCup | #ArabCup2021 https://t.co/ngkw7tpP9b",['كأس_العرب'],neutral
7,"🔘إنفوجراف الشرق| أبرز الأرقام والإحصاءات في #كأس_العرب..
 
#مونديال_العرب https://t.co/EYJqyqmbYh",['كأس_العرب'],neutral
8,#الجزائر لأنه يمتلكون أقوى خط هجوم في #كأس_العرب  يوسف بلايلي وهلال سوداني و بغداد بونجاح https://t.co/q4XtVvI1JF,['كأس_العرب'],positive
9,معليش نعاودوها 🤣 #الجزائر_المغرب #كأس_العرب #ArabCup2021 #بلايلي https://t.co/HSA7FlwaAc,['كأس_العرب'],positive
10,"📸👏🏻 | شركة الريل تعلن عن تشغيل قطار فيه 6 مقطورات للمرة الأولى على الخط الأحمر خلال #كأس_العرب 🏆 بهدف مضاعفة السعة الاستيعابية للقطارات لتسهيل نقل الجماهير أثناء البطولة 🚊 

@metrotram_qa | #نديب_قطر | #قطر 🇶🇦 https://t.co/brQeqgpCQ2",['كأس_العرب'],neutral
